"step_id","step_name","step_description","task_name"
"b8c9d0e1-f2a3-4567-8901-234577890123","Soil Compaction","Compact soil in foundation area","Excavation"
"c3d4e5f6-a7b8-9012-3456-789012345678","Door Installation","Install external doors and frames","Windows & Doors"
"d4e5f6a7-b8c9-0123-4567-890123456789","Sealants & Flashings","Install sealants and flashings","Windows & Doors"
"e5f6a7b8-c9d0-1234-5678-901234567890","Surface Preparation","Prepare surfaces for painting","External Painting"
"f6a7b8c9-d0e1-2345-6789-012345678901","Primer Application","Apply primer coat to surfaces","External Painting"
"a7b8c9d0-e1f2-3456-7890-123456789012","Top Coat Application","Apply final paint coats","External Painting"
"b8c9d0e1-f2a3-4567-8901-234667890123","Excavation & Formwork","Excavate and form concrete areas","Driveway & Paths"
"c9d0e1f2-a3b4-5678-9012-345778901234","Concrete Pouring","Pour and finish concrete","Driveway & Paths"
"d0e1f2a3-b4c5-6789-0123-457789012345","Water Supply Pipes","Install main water supply pipes","Plumbing Rough-in"
"e1f2a3b4-c5d6-7890-1234-577890123456","Drainage Pipes","Install drainage and waste pipes","Plumbing Rough-in"
"f2a3b4c5-d6e7-8901-2345-778901234567","Ventilation Pipes","Install ventilation and vent pipes","Plumbing Rough-in"
"a3b4c5d6-e7f8-9012-3456-889012345678","Main Electrical Board","Install main electrical switchboard","Electrical Rough-in"
"b4c5d6e7-f8a9-0123-4567-990123456789","Electrical Wiring","Install electrical wiring and conduits","Electrical Rough-in"
"c5d6e7f8-a9b0-1234-5678-001234567890","Power Points & Switches","Install power points and switches","Electrical Rough-in"
"d6e7f8a9-b0c1-2345-6789-112345678901","Ductwork Installation","Install HVAC ductwork and vents","HVAC Installation"
"e7f8a9b0-c1d2-3456-7890-223456789012","HVAC Unit Installation","Install heating and cooling units","HVAC Installation"
"f8a9b0c1-d2e3-4567-8901-334567890123","Ceiling Installation","Install plasterboard ceilings","Internal Lining"
"a9b0c1d2-e3f4-5678-9012-445678901234","Wall Lining","Install plasterboard walls","Internal Lining"
"b0c1d2e3-f4a5-6789-0123-556789012345","Jointing & Finishing","Joint and finish plasterboard","Internal Lining"
"a308032a-fbd1-43ed-b734-1c82d6147e01","Reinforcement Installation","Install steel reinforcement","Foundation"
"46fd3d0c-f692-4f66-a74b-55ef6efbcdbe","Concrete Pouring","Pour and finish concrete foundation","Foundation"
"46323c56-1059-413a-8cbd-b8c2e6e83b13","Stormwater Pipes","Install stormwater drainage pipes","Drainage"
"48da5ea7-f325-4f3e-9bb1-992a5e729c43","Drainage Testing","Test drainage system","Drainage"
"f0841097-366c-4ba9-8ce8-bc479ba3cc23","Roof Trusses","Install roof trusses","Roof Frame"
"7e941823-7943-4320-b770-a0e4868614d5","Foundation Bricks","Lay foundation course of bricks","Brickwork"
"9192cc5d-852b-446c-ae5c-bdfdea4da96c","Wall Bricklaying","Lay brick walls with proper bonding","Brickwork"
"9e3ba77e-2f95-422f-9ba0-789fd7a6cd62","Lintel Installation","Install lintels above openings","Brickwork"
"98065d67-1d74-47e0-ae08-ebd120b8d1aa","Pointing & Cleaning","Point mortar joints and clean bricks","Brickwork"
"991db3be-64d8-4f38-874a-0d351fdc1d61","Weatherboard Installation","Install weatherboard cladding","External Cladding"
"9c592826-17d4-4d01-b50b-7f9ff8ef5544","Flashings","Install flashings and sealants","External Cladding"
"3c96a8a1-0db7-435f-9fd2-1fb944ea8918","Window Installation","Install external windows and frames","Windows & Doors"
"7871a24d-1e75-4428-b029-5e54e7d297f9","Paint Preparation","Prepare cladding for painting","External Cladding"
"58ece4da-8802-419a-b746-32df6b3dbaae","Floor Joists","Install floor joists and bearers","Floor Frame"
"dab6222a-7586-4793-a558-16b7f5738175","Subfloor Installation","Install subfloor sheeting","Floor Frame"
"9627a710-d5f8-4650-affe-6ebd2a132490","Wall Studs","Install wall studs and plates","Wall Frame"
"8b9c4476-8ffa-4aa7-a95c-3e9c411b697d","Wall Bracing","Install wall bracing and ties","Wall Frame"
"43a63f46-aa2b-4954-8b61-03c5118fd150","Roof Bracing","Install roof bracing and ties","Roof Frame"
"01b61e39-29d7-4374-b29b-d60ee288ca07","Roof Underlay","Install roof underlay and insulation","Roof Covering"
"d10e5fba-853b-4932-9f85-1035d1898320","Roof Tiles","Install roof tiles or metal sheeting","Roof Covering"
"1ad13848-cd51-440f-8bf4-d8de9bebb509","Ridge Capping","Install ridge capping and flashings","Roof Covering"
"0e75b39d-c3a2-435f-951a-ef9feddd74e3","Fascia Installation","Install fascia boards and trim","Fascia & Guttering"
"7b1d74ee-5499-4aae-86cd-6e713b3f75e9","Gutter Installation","Install guttering and downpipes","Fascia & Guttering"
"beb42d8c-cad5-42aa-917a-8952d1782e95","Brick Delivery","Deliver and stack bricks on site","Brickwork"
"c3d4e5f6-a7b8-9012-cdef-345678901234","Site Boundary Survey","Survey and mark property boundaries","Site Survey & Marking"
"d4e5f6a7-b8c9-0123-def0-456789012345","Building Footprint Marking","Mark building outline and corners","Site Survey & Marking"
"e5f6a7b8-c9d0-1234-ef01-567890123456","Vegetation Removal","Remove trees and vegetation","Site Clearing"
"f6a7b8c9-d0e1-2345-f012-678901234567","Site Grading","Grade site for proper drainage","Site Clearing"
"a7b8c9d0-e1f2-3456-0123-789012345678","Foundation Trenches","Excavate foundation trenches","Excavation"
"c1d2e3f4-a5b6-7890-1234-667890123456","Floor Covering","Install floor coverings and tiles","Internal Finishes"
"d2e3f4a5-b6c7-8901-2345-778901234567","Internal Painting","Paint internal walls and ceilings","Internal Finishes"
"e3f4a5b6-c7d8-9012-3456-889012345678","Skirting & Architraves","Install skirting boards and architraves","Internal Finishes"
"f4a5b6c7-d8e9-0123-4567-990123456789","Kitchen Cabinets","Install kitchen cabinets and drawers","Kitchen Installation"
"a5b6c7d8-e9f0-1234-5688-901234567890","Kitchen Benchtop","Install kitchen benchtop and sink","Kitchen Installation"
"b6c7d8e9-f0a1-2345-6799-012345678901","Kitchen Appliances","Install kitchen appliances","Kitchen Installation"
"c7d8e9f0-a1b2-3456-7880-123456789012","Bathroom Tiling","Install bathroom wall and floor tiles","Bathroom Installation"
"d8e9f0a1-b2c3-4567-8991-234567890123","Bathroom Fixtures","Install toilet, basin, and shower","Bathroom Installation"
"e9f0a1b2-c3d4-5678-9022-345678901234","Bathroom Accessories","Install bathroom accessories and fittings","Bathroom Installation"
"f0a1b2c3-d4e5-6789-0133-456789012345","Light Fixtures","Install light fixtures and fittings","Final Electrical"
"a1b2c3d4-e5f6-7890-1244-567890123456","Final Testing","Test all electrical systems","Final Electrical"
"b2c3d4e5-f6a7-8901-2355-678901234567","Tap Installation","Install taps and plumbing fixtures","Final Plumbing"
"c3d4e5f6-a7b8-9012-3466-789012345678","Final Testing","Test all plumbing systems","Final Plumbing"
"d4e5f6a7-b8c9-0123-4577-890123456789","Final Inspection","Conduct final building inspection","Final Inspection & Handover"
"e5f6a7b8-c9d0-1234-5688-901234567890","Site Cleanup","Clean site and remove debris","Final Inspection & Handover"
"f6a7b8c9-d0e1-2345-6799-012345678901","Client Handover","Handover keys and documentation","Final Inspection & Handover"
